Kentik_ID,Status,Target_Network,Protocol,Peak_Bandwidth,Peak_Bandwidth_bps,Peak_PPS,Peak_PPS_raw,Attack_Start,Attack_End,Duration_min,Mitigation_UP,Mitigation_DOWN,ProtectedName,PolicyName,Source_Log_File
kentik_60180,Completed,69.14.154.228/32,UDP,165.7 Mbps,165681664,,0,2026-03-29 17:04:13,2026-03-29 17:56:45,52,,,,,alert.2026-03-30_2251.log
kentik_60181,Completed,69.14.92.10/32,UDP,0 bps,0,68.9K pps,68916,2026-03-29 17:36:29,2026-03-29 18:17:16,40,WOW-ARIN | WOW-RESIDENTAL-2,WOW-ARIN | WOW-RESIDENTAL-2,WOW-ARIN | WOW-RESIDENTAL-2,WOW-ARIN_1@007c9d-00002-0 | WOW-RESIDENTAL-2_1@007c9a-00004-0,alert.2026-03-30_2251.log
kentik_60182,Completed,76.73.184.145/32,UDP,190.2 Mbps,190227888,,0,2026-03-29 18:22:31,2026-03-29 19:04:03,41,WOW-ARIN | WOW-RESIDENTAL-1,WOW-ARIN,WOW-ARIN | WOW-RESIDENTAL-1,WOW-ARIN_1@007c9d-00002-0 | WOW-RESIDENTAL-1_2@007c9e-00003-0,alert.2026-03-30_2251.log
kentik_60183,Completed,50.4.234.167/32,UDP,0 bps,0,52.7K pps,52749,2026-03-29 18:25:47,2026-03-29 19:07:18,41,WOW-ARIN | WOW-RESIDENTAL-2,WOW-ARIN | WOW-RESIDENTAL-2,WOW-ARIN | WOW-RESIDENTAL-2,WOW-ARIN_1@007c9d-00002-0 | WOW-RESIDENTAL-2_1@007c9a-00004-0,alert.2026-03-30_2251.log
kentik_60184,Completed,24.192.126.30/32,UDP,0 bps,0,194.9K pps,194915,2026-03-29 19:11:34,2026-03-29 19:52:37,41,WOW-ARIN | WOW-RESIDENTAL-2,WOW-ARIN | WOW-RESIDENTAL-2,WOW-ARIN | WOW-RESIDENTAL-2,WOW-ARIN_1@007c9d-00002-0 | WOW-RESIDENTAL-2_1@007c9a-00004-0,alert.2026-03-30_2251.log
kentik_60185,Completed,69.14.1.222/32,UDP,0 bps,0,742.7K pps,742745,2026-03-29 19:25:50,2026-03-29 19:26:06,0,WOW-ARIN | WOW-RESIDENTAL-2,,WOW-ARIN | WOW-RESIDENTAL-2,WOW-ARIN_1@007c9d-00002-0 | WOW-RESIDENTAL-2_1@007c9a-00004-0,alert.2026-03-30_2251.log
kentik_60186,Completed,69.14.1.222/32,UDP,4.18 Gbps,4180737184,,0,2026-03-29 19:26:06,2026-03-29 20:08:09,42,,WOW-ARIN,,,alert.2026-03-30_2251.log
kentik_60187,Completed,69.14.138.169/32,UDP,0 bps,0,82.2K pps,82249,2026-03-29 19:33:06,2026-03-29 20:15:24,42,WOW-ARIN | WOW-RESIDENTAL-2,WOW-ARIN | WOW-RESIDENTAL-2,WOW-ARIN | WOW-RESIDENTAL-2,WOW-ARIN_1@007c9d-00002-0 | WOW-RESIDENTAL-2_1@007c9a-00004-0,alert.2026-03-30_2251.log
kentik_60188,Completed,50.4.168.223/32,UDP,275.7 Mbps,275671296,,0,2026-03-29 19:50:21,2026-03-29 20:31:55,41,WOW-ARIN | WOW-RESIDENTAL-1,WOW-ARIN | WOW-RESIDENTAL-1,WOW-ARIN | WOW-RESIDENTAL-1,WOW-ARIN_1@007c9d-00002-0 | WOW-RESIDENTAL-1_2@007c9e-00003-0,alert.2026-03-30_2251.log
kentik_60189,Completed,67.149.211.164/32,UDP,0 bps,0,70.0K pps,69999,2026-03-29 19:53:53,2026-03-29 20:36:11,42,WOW-ARIN | WOW-RESIDENTAL-2,WOW-ARIN | WOW-RESIDENTAL-2,WOW-ARIN | WOW-RESIDENTAL-2,WOW-ARIN_1@007c9d-00002-0 | WOW-RESIDENTAL-2_1@007c9a-00004-0,alert.2026-03-30_2251.log
kentik_60190,Completed,24.214.108.7/32,UDP,0 bps,0,73.3K pps,73333,2026-03-29 22:55:26,2026-03-29 23:38:30,43,WOW-ARIN | WOW-RESIDENTAL-1,WOW-RESIDENTAL-1 | WOW-ARIN,WOW-ARIN | WOW-RESIDENTAL-1,WOW-ARIN_1@007c9d-00002-0 | WOW-RESIDENTAL-1_2@007c9e-00003-0,alert.2026-03-30_2251.log
kentik_60191,Completed,24.96.193.97/32,UDP,0 bps,0,51.9K pps,51916,2026-03-29 23:24:43,2026-03-30 00:04:46,40,WOW-ARIN | WOW-RESIDENTAL-1,WOW-ARIN,WOW-ARIN | WOW-RESIDENTAL-1,WOW-ARIN_1@007c9d-00002-0 | WOW-RESIDENTAL-1_2@007c9e-00003-0,alert.2026-03-30_2251.log
kentik_60192,Completed,24.42.169.132/32,UDP,0 bps,0,73.4K pps,73416,2026-03-29 23:24:42,2026-03-30 00:06:01,41,WOW-ARIN | WOW-RESIDENTAL-1,WOW-ARIN | WOW-RESIDENTAL-1,WOW-ARIN | WOW-RESIDENTAL-1,WOW-ARIN_1@007c9d-00002-0 | WOW-RESIDENTAL-1_2@007c9e-00003-0,alert.2026-03-30_2251.log
kentik_60193,Completed,143.59.73.194/32,UDP,0 bps,0,68.8K pps,68833,2026-03-29 23:24:43,2026-03-30 00:07:16,42,WOW-BUSINESS | WOW-ARIN,WOW-ARIN | WOW-BUSINESS,WOW-BUSINESS | WOW-ARIN,WOW-BUSINESS_1@007c97-00001-0 | WOW-ARIN_1@007c9d-00002-0,alert.2026-03-30_2251.log
kentik_60194,Completed,24.236.89.49/32,UDP,357.4 Mbps,357384352,,0,2026-03-29 23:29:58,2026-03-30 00:12:32,42,WOW-ARIN | WOW-RESIDENTAL-1,WOW-ARIN,WOW-ARIN | WOW-RESIDENTAL-1,WOW-ARIN_1@007c9d-00002-0 | WOW-RESIDENTAL-1_2@007c9e-00003-0,alert.2026-03-30_2251.log
kentik_60195,Completed,50.4.70.135/32,UDP,162.6 Mbps,162633600,,0,2026-03-29 23:34:14,2026-03-30 00:31:02,56,WOW-ARIN | WOW-RESIDENTAL-2,WOW-RESIDENTAL-2 | WOW-ARIN,WOW-ARIN | WOW-RESIDENTAL-2,WOW-ARIN_1@007c9d-00002-0 | WOW-RESIDENTAL-2_1@007c9a-00004-0,alert.2026-03-30_2251.log
kentik_60196,Completed,72.15.112.23/32,UDP,0 bps,0,61.8K pps,61833,2026-03-29 23:38:45,2026-03-30 00:35:18,56,WOW-ARIN | WOW-RESIDENTAL-1,WOW-RESIDENTAL-1 | WOW-ARIN,WOW-ARIN | WOW-RESIDENTAL-1,WOW-ARIN_1@007c9d-00002-0 | WOW-RESIDENTAL-1_2@007c9e-00003-0,alert.2026-03-30_2251.log
kentik_60197,Completed,143.59.170.170/32,UDP,0 bps,0,82.0K pps,82000,2026-03-30 00:29:47,2026-03-30 01:11:21,41,WOW-ARIN | WOW-RESIDENTAL-2,WOW-ARIN | WOW-RESIDENTAL-2,WOW-ARIN | WOW-RESIDENTAL-2,WOW-ARIN_1@007c9d-00002-0 | WOW-RESIDENTAL-2_1@007c9a-00004-0,alert.2026-03-30_2251.log
kentik_60198,Completed,23.28.112.199/32,UDP,284.8 Mbps,284838880,,0,2026-03-30 00:39:34,2026-03-30 01:22:36,43,WOW-ARIN | WOW-RESIDENTAL-1,WOW-ARIN,WOW-ARIN | WOW-RESIDENTAL-1,WOW-ARIN_1@007c9d-00002-0 | WOW-RESIDENTAL-1_2@007c9e-00003-0,alert.2026-03-30_2251.log
kentik_60199,Completed,76.73.186.94/32,UDP,0 bps,0,1.39M pps,1387074,2026-03-30 00:56:50,2026-03-30 01:37:52,41,WOW-ARIN | WOW-RESIDENTAL-1,WOW-ARIN | WOW-RESIDENTAL-1,WOW-ARIN | WOW-RESIDENTAL-1,WOW-ARIN_1@007c9d-00002-0 | WOW-RESIDENTAL-1_2@007c9e-00003-0,alert.2026-03-30_2251.log
kentik_60200,Completed,69.14.154.228/32,UDP,104.1 Mbps,104129944,10.0K pps,9999,2026-03-30 01:10:06,2026-03-30 01:45:07,35,WOW-ARIN | WOW-RESIDENTAL-2,WOW-RESIDENTAL-2 | WOW-ARIN,WOW-ARIN | WOW-RESIDENTAL-2,WOW-ARIN_1@007c9d-00002-0 | WOW-RESIDENTAL-2_1@007c9a-00004-0,alert.2026-03-30_2251.log
